h11,cy_index,axion_index,tau,f_GeV,Lambda2_GeV,mass_eV
6,7,2,62.49999999999989,3119413337683325.5,1.2971101281883272e-67,1.0125183232319742e-55
6,7,3,47.49999999999991,5528163949859695.0,3.789851194401463e-47,1.6693223540524294e-35
6,7,4,3.9999999999999947,2482049685074081.0,8491678637369.045,8.330710543925505e+24
6,7,5,30.99999999999993,2070909051492979.2,1.2326279081734911e-24,1.449338856401549e-12
6,8,2,11.499999999999844,3682597750346246.5,496.7877706862276,328485027045711.8
6,8,3,55.499999999999204,1923815540125993.2,4.609049022103822e-58,5.8337372449376275e-46
6,9,0,68.49999999999974,8410962116456700.0,8.447315740649964e-76,2.4455244886001092e-64
6,9,1,12.999999999999973,8750726311248668.0,4.4627891198106635,1241827377548.0857
6,9,2,68.49999999999974,5858135094394238.0,8.447315740649964e-76,3.511222171739559e-64
6,9,3,15.499999999999966,2239139105245839.5,0.0017324690347600591,1884010729.7297995
6,9,4,38.99999999999986,2870055545260921.5,1.4990674206855907e-35,1.2718322387163291e-23
6,9,5,28.999999999999872,3245788773941059.5,6.60061959193977e-22,4.951803652601209e-10
7,0,2,37.4999999999994,1727728148568243.5,1.6687285507747788e-33,2.3518480175853245e-21
7,0,3,37.4999999999997,916176821947681.2,1.6687285507732136e-33,4.4351198631008535e-21
7,1,0,74.99999999999993,5936725222143876.0,1.1435954727560902e-84,4.690557288678896e-73
7,1,4,43.49999999999995,2279753116432180.5,1.0867448065869938e-41,1.1607500763857608e-29
7,1,5,65.49999999999991,781712578769889.4,1.0467616158034841e-71,3.260615990716693e-59
7,1,6,49.49999999999993,938435158252045.2,7.077330067239402e-50,1.8363867297797276e-37
7,2,0,68.99999999999193,1.043037820270453e+16,1.7560244175105185e-76,4.099486493720231e-65
7,2,2,11.499999999999119,2182965731298053.2,496.7877706873572,554144393693439.2
7,2,3,72.49999999999008,2576038147228000.5,2.9458681979533384e-81,2.784581847025533e-69
7,2,5,54.999999999992355,1445146802738090.5,2.2171726069067815e-57,3.735824822494841e-45
7,2,6,48.99999999999382,2001330921417753.5,3.4045336206735062e-49,4.142263169784675e-37
7,3,0,42.999999999999936,5707166394376681.0,5.227761310968569e-41,2.2304586746850497e-29
7,3,2,42.99999999999995,2845499693954435.5,5.227761310968272e-41,4.473589935452504e-29
7,3,3,48.99999999999994,3109934531488620.0,3.404533620607998e-49,2.6656636280418143e-37
7,3,4,20.999999999999975,3656806410657870.0,5.427446296271228e-11,36.1403646988326
7,3,5,51.999999999999936,1659805207553816.5,2.7474422073495672e-53,4.0306065702467577e-41
7,3,6,29.999999999999954,2114090668057687.5,2.8523863553626505e-23,3.2853656090773345e-11
7,4,1,74.99999999999993,3985259672286459.0,1.1435954727560902e-84,6.987386532239297e-73
7,4,2,10.000000000000014,2133990106603521.2,55301.3110136892,6.3101835337304936e+16
7,4,3,65.99999999999996,2682225669280793.5,2.1760036123343753e-72,1.9754373603675755e-60
7,4,4,74.99999999999993,2956915868462739.0,1.1435954727560902e-84,9.417430525707804e-73
7,4,5,17.999999999999986,1316386777660153.0,6.725500299977232e-07,1244056.3448649624
7,4,6,65.99999999999996,1208155025922333.5,2.1760036123343753e-72,4.38566962214899e-60
7,5,4,42.499999999998714,826751689518452.4,2.514802753959643e-40,7.4067519710282475e-28
7,5,5,34.99999999999892,396240407519211.06,4.298595513632394e-30,2.6415983521790116e-17
7,6,3,29.499999999999964,3867365986289556.5,1.3721340044245762e-22,8.639333108422508e-11
7,6,4,66.99999999999943,2463867044863769.0,9.403364224524687e-74,9.29319296447006e-62
7,7,1,42.49999999999996,8168770839021304.0,2.5148027539498506e-40,7.496286560783905e-29
7,7,2,42.49999999999997,6252765815250750.0,2.514802753949708e-40,9.793337679354575e-29
7,7,3,42.49999999999994,5695389354820103.0,2.5148027539499224e-40,1.0751757824398085e-28
7,7,4,42.49999999999995,3393361143371210.0,2.5148027539499224e-40,1.8045661652695441e-28
7,7,5,11.999999999999968,4830786829814459.0,103.27203130645191,52055163080104.03
7,7,6,11.999999999999973,4830711257241995.0,103.27203130645044,52055977441048.195
7,8,1,9.999999999999991,3927413728024499.0,55301.311013693325,3.428686195128135e+16
7,8,2,67.49999999999991,3996195813083473.0,1.9547673712631133e-74,1.1910974265680351e-62
7,8,3,67.49999999999987,2680010846861011.5,1.9547673712633913e-74,1.7760594344613895e-62
7,8,5,49.99999999999986,1824718615902897.8,1.4712323760725782e-50,1.963289465298779e-38
7,8,6,48.99999999999986,1372607437986273.2,3.4045336206088687e-49,6.03962876548648e-37
8,0,0,66.99399352229324,1.0715882971399588e+16,9.582489549671952e-74,2.17745584901658e-62
8,0,1,9.499325210858501,3821568584049977.5,266590.25520355406,1.69864090397328e+17
8,0,2,67.49452661579141,4042373232901786.5,1.988670526416324e-74,1.1979133179515094e-62
8,0,5,48.99579735401015,2384347847155788.0,3.449781732166227e-49,3.523067545637318e-37
8,0,6,42.995897907276316,1353641984716441.5,5.295567994050842e-41,9.525936851179272e-29
8,0,7,10.999421881443354,1460161495377564.2,2394.1306389545807,3992509132934625.0
8,1,1,19.999999999999986,2602434597994079.5,1.2559486652292384e-09,1175.143844994391
8,1,5,65.99999999999979,2449027597142225.5,2.1760036123355503e-72,2.163539848313663e-60
8,1,6,12.999999999999986,971698141281681.0,4.4627891198105045,11183402586738.533
8,1,7,15.999999999999964,992550320862106.5,0.00036014492898673645,883534953.9970951
8,2,6,19.499999999999886,1000004174622845.4,6.041712645740775e-09,14711.508877377737
8,2,7,19.499999999999886,1192277904078198.0,6.041712645740775e-09,12339.044648951154
8,3,0,55.99999999999979,9026163884877282.0,9.581271580930982e-59,2.5847521269423676e-47
8,3,1,55.999999999999815,4963862174312807.0,9.581271580929893e-59,4.700049171448667e-47
8,3,2,70.99999999999972,6058640408790612.0,3.279275035101595e-79,1.317958183965948e-67
8,3,3,70.99999999999967,3743074690966961.0,3.2792750351020614e-79,2.1332822264390133e-67
8,3,4,33.499999999999844,3712763663141121.5,4.785101032026256e-28,3.138287828190548e-16
8,3,5,14.999999999999943,1801584532483792.5,0.008334003104936748,11264138426.268124
8,3,6,14.999999999999943,1801086347196599.0,0.008334003104936748,11267254116.998672
8,3,7,48.99999999999981,6044290912263349.0,3.404533620609449e-49,1.3715487038130856e-37
8,4,6,20.4999999999998,4033183563527660.0,2.610860764463125e-10,157.6284803637133
8,4,7,19.499999999999904,1083841810109567.0,6.041712645740431e-09,13573.540119190213
8,5,6,71.25000000000001,902412237410387.8,1.4951465199325946e-79,4.0343887473017546e-67
8,5,7,41.500000000000014,982814577619233.9,5.819427756120978e-39,1.4418087509935676e-26
8,6,6,24.999999999999886,4033182808702817.5,1.8927363355041413e-16,0.00011427235499981972
8,6,7,19.50000000000007,1192277904078189.5,6.041712645737254e-09,12339.044648944053
8,7,5,27.499999999999922,2364834792359806.5,7.347663096312402e-20,7.565669998311884e-08
8,7,6,7.499999999999988,916493546244549.6,142454545.59444153,3.78482554453152e+20
8,7,7,41.99999999999988,1042886232083609.6,1.2097401765468162e-39,2.8245816650644356e-27
8,8,1,34.00000000000006,1424722609347952.0,9.947247753325528e-29,1.7000887134396678e-16
8,8,7,32.00000000000004,609224495792558.6,5.326668167343547e-26,2.1290077922109648e-13
8,9,1,28.999999999999886,7092972616928793.0,6.600619591939395e-22,2.2659764212274246e-10
8,9,2,58.49999999999983,3432366741852807.0,3.7194803254093462e-62,2.638684987223359e-50
8,9,3,58.49999999999983,4426728811465230.0,3.7194803254093462e-62,2.0459655375577314e-50
8,9,6,9.499999999999993,2092174498917726.0,266025.7057691004,3.0961690522604576e+17
8,9,7,27.000000000000103,4012590388021810.0,3.5345767127744366e-19,2.1449222231349703e-07
9,0,7,72.99999999999346,393967156316281.06,6.123858329692162e-82,3.7849843048411947e-69
9,0,8,49.139999999995155,783782245842244.4,2.1930318432768312e-49,6.8131583315474815e-37
9,1,3,28.999999999999595,975055650288338.4,6.600619591945492e-22,1.6483683471435086e-09
9,1,7,26.999999999999634,652074368901906.0,3.5345767127796607e-19,1.3198945865809995e-06
9,1,8,67.49999999999912,660109670416702.5,1.9547673712680023e-74,7.210708708498188e-62
9,2,8,0.49999999999999556,408805642097692.2,5.061867684141124e+17,3.015038576189264e+30
9,3,2,35.499999999985604,1749125724975750.5,8.93590214314565e-31,1.243988434213974e-18
9,3,7,30.999999999989683,1069669626065051.9,1.232627908213184e-24,2.8059588524920593e-12
9,3,8,19.49999999999378,832933266229000.5,6.041712645856683e-09,17662.363708038447
9,4,6,39.99999999999956,550678069951989.25,6.4780576989451546e-37,2.864481329047062e-24
9,4,8,14.999999999999687,423608504228956.25,0.008334003104943439,47905784133.09887
9,5,1,66.49999999999984,5100301067588231.0,4.5234670906995426e-73,2.1596063094882864e-61
9,5,2,45.99999999999991,2086452192374748.0,4.218778157679043e-45,4.923537117932383e-33
9,5,4,66.49999999999994,1673121125223964.8,4.523467090698128e-73,6.583290474188184e-61
9,5,7,13.499999999999984,1587482074412851.2,0.9277227115690023,1423011219516.315
9,5,8,6.999999999999996,932501327697902.9,685274369.3977424,1.789427038782816e+21
9,6,4,16.99999999999993,399040403778690.8,1.5563273524346605e-05,94969257.93209039
9,6,7,21.999999999999986,431561156629870.44,2.3454122062807083e-12,13.233532801914436
9,6,8,1.9999999999999858,327591515971499.25,4547223051709156.0,3.379967914637664e+28
9,7,6,39.999999999944976,483008755750673.1,6.4780577000560274e-37,3.2657939036987e-24
9,7,7,62.99999999990291,632117834851728.9,2.6964270401022828e-68,1.0386987173347433e-55
9,7,8,58.49999999989677,632116022825428.2,3.719480326613534e-62,1.4327962380737204e-49
9,8,0,65.00038711877382,2880272860679486.5,5.029302870498001e-71,4.2518028957761975e-59
9,8,1,60.50034620651135,5493568441767703.0,6.938365950836479e-65,3.0754001282362166e-53
9,8,2,56.49996438725434,2812126921848563.0,1.9919735281502673e-59,1.7248352140014483e-47
9,8,4,35.999962271000044,1008397435036156.8,1.8578117435402707e-31,4.486099863352345e-19
9,8,5,74.50040321658804,2697352980042800.5,5.4942759131014495e-84,4.959885468230317e-72
9,8,6,11.500293070720542,2909719264824631.5,496.3305843025986,415354493949665.44
9,8,8,30.000087161523783,1236058454278180.0,2.8516054047352977e-23,5.617581544382003e-11
9,9,4,42.499999999999915,1460138369559292.2,2.514802753950137e-40,4.193811239764098e-28
9,9,5,26.999999999999986,1873951908426393.8,3.534576712775743e-19,4.592804253357921e-07
9,9,7,25.999999999999837,712663818826140.1,8.179255329736142e-18,2.794653832814584e-05
9,9,8,44.9999999999999,992133906203564.6,9.762544863273524e-44,2.3960270477031325e-31
10,0,9,0.49999998718703864,105069112927201.05,5.0618678878969504e+17,1.1730991119691963e+31
10,1,6,40.0,804844308731785.2,6.478057698936224e-37,1.9598909162649522e-24
10,1,9,51.99999999999986,375516069082018.3,2.7474422073501922e-53,1.781554060057152e-40
10,2,1,29.49999999999875,2074610232682153.2,1.372134004429802e-22,1.6104935029010137e-10
10,2,6,58.99999999999898,3324006174314852.5,7.732039942931588e-63,5.66410417842234e-51
10,2,7,30.99999999999892,818504024789898.5,1.232627908177415e-24,3.666993521726965e-12
10,2,8,19.49999999999929,845010049465078.2,6.041712645752107e-09,17409.935303987608
10,2,9,31.999999999998973,1085187972014188.5,5.326668167361411e-26,1.195224912367113e-13
10,3,1,3.9999999999999645,2172408653491635.8,8491678637369.858,9.518115962556958e+24
10,3,5,10.999999999999545,1100136067971203.4,2389.7863340285453,5289463633431048.0
10,3,8,8.99999999999875,1165043231206427.5,1279710.6403625999,2.674660755769678e+18
10,4,4,30.99999999991121,1638801183996349.5,1.2326279085170462e-24,1.8314905960219837e-12
10,4,5,2.9999999999957936,390425976697621.2,196503325286288.44,1.2255475445546285e+27
10,4,6,59.99999999988319,842123958541049.0,3.3413174222760894e-64,9.66141366805168e-52
10,4,9,18.999999999937472,834858602341386.0,2.9063522030327192e-08,84768.45773089124
10,5,0,67.99999999999935,1667137038567466.8,4.063562130031983e-75,5.935189224234519e-63
10,5,2,29.499999999999755,1483587109783341.8,1.3721340044254733e-22,2.2520728838524066e-10
10,5,6,23.000000000000114,789319637932628.4,1.0135445137702758e-13,0.31267192306208325
10,5,8,53.499999999999545,629804302395140.1,2.4681072912385244e-55,9.542394726918242e-43
10,5,9,7.999999999999956,846170265312328.0,29613390.5874158,8.521760812966126e+19
10,6,3,68.99999999998707,434886821644523.2,1.7560244175373697e-76,9.832258058623435e-64
10,6,6,10.499999999997385,620594290178908.2,11496.013105262373,4.510642839340974e+16
10,6,9,70.999999999983,557964920032221.25,3.2792750352737407e-79,1.43109977423499e-66
10,7,2,51.499999999428326,724320601096506.8,1.3216508617698334e-52,4.443087554789508e-40
10,7,9,6.999999999934744,849386116907547.2,685274369.5382203,1.9645283300612186e+21
10,8,2,23.49999999977331,1577665057321823.0,2.106952042853292e-14,0.03251912185376636
10,8,5,42.99999999950205,933447730311151.2,5.227761319145626e-41,1.363718438511428e-28
10,8,7,19.999999999733802,1139772337293502.0,1.2559486662795187e-09,2683.1981285426687
10,8,9,10.999999999837314,1065583104741056.0,2389.7863352465192,5460981598182680.0
10,9,0,30.99999999999997,5150463763311148.0,1.2326279081733337e-24,5.82753145024068e-13
10,9,1,31.000000000000057,4637062630022907.0,1.2326279081730009e-24,6.472737583849347e-13
10,9,2,53.99999999999997,3644932703641957.5,5.1306909809020845e-56,3.4275619206943217e-44
10,9,3,53.99999999999993,3638916558331766.0,5.1306909809028135e-56,3.433228637764032e-44
10,9,4,62.99999999999998,1548357433279010.2,2.696427039280044e-68,4.240493635079004e-56
10,9,5,62.999999999999936,2178165588432883.8,2.696427039280351e-68,3.0143713019410634e-56
10,9,6,68.99999999999997,1901952985207073.0,1.7560244174661492e-76,2.248173056740694e-64
10,9,7,4.999999999999993,1888305138943636.5,366958706557.48944,4.7319918377564616e+23
10,9,8,10.999999999999844,3245854133590990.0,2389.786334026304,1792788426051716.8
10,9,9,11.0,1536077296101874.8,2389.7863340251324,3788305274818191.5
